x/y;90.00 speed;90.00 dir;88.99 speed;88.99 dir;87.98 speed;87.98 dir;86.97 speed;86.97 dir;85.96 speed;85.96 dir;84.94 speed;84.94 dir;83.93 speed;83.93 dir;82.92 speed;82.92 dir;81.91 speed;81.91 dir;80.90 speed;80.90 dir;79.89 speed;79.89 dir;78.88 speed;78.88 dir;77.87 speed;77.87 dir;76.85 speed;76.85 dir;75.84 speed;75.84 dir;74.83 speed;74.83 dir;73.82 speed;73.82 dir;72.81 speed;72.81 dir;71.80 speed;71.80 dir;70.79 speed;70.79 dir;69.78 speed;69.78 dir;68.76 speed;68.76 dir;67.75 speed;67.75 dir;66.74 speed;66.74 dir;65.73 speed;65.73 dir;64.72 speed;64.72 dir;63.71 speed;63.71 dir;62.70 speed;62.70 dir;61.69 speed;61.69 dir;60.67 speed;60.67 dir;59.66 speed;59.66 dir;58.65 speed;58.65 dir;57.64 speed;57.64 dir;56.63 speed;56.63 dir;55.62 speed;55.62 dir;54.61 speed;54.61 dir;53.60 speed;53.60 dir;52.58 speed;52.58 dir;51.57 speed;51.57 dir;50.56 speed;50.56 dir;49.55 speed;49.55 dir;48.54 speed;48.54 dir;47.53 speed;47.53 dir;46.52 speed;46.52 dir;45.51 speed;45.51 dir;44.49 speed;44.49 dir;43.48 speed;43.48 dir;42.47 speed;42.47 dir;41.46 speed;41.46 dir;40.45 speed;40.45 dir;39.44 speed;39.44 dir;38.43 speed;38.43 dir;37.42 speed;37.42 dir;36.40 speed;36.40 dir;35.39 speed;35.39 dir;34.38 speed;34.38 dir;33.37 speed;33.37 dir;32.36 speed;32.36 dir;31.35 speed;31.35 dir;30.34 speed;30.34 dir;29.33 speed;29.33 dir;28.31 speed;28.31 dir;27.30 speed;27.30 dir;26.29 speed;26.29 dir;25.28 speed;25.28 dir;24.27 speed;24.27 dir;23.26 speed;23.26 dir;22.25 speed;22.25 dir;21.24 speed;21.24 dir;20.22 speed;20.22 dir;19.21 speed;19.21 dir;18.20 speed;18.20 dir;17.19 speed;17.19 dir;16.18 speed;16.18 dir;15.17 speed;15.17 dir;14.16 speed;14.16 dir;13.15 speed;13.15 dir;12.13 speed;12.13 dir;11.12 speed;11.12 dir;10.11 speed;10.11 dir;9.10 speed;9.10 dir;8.09 speed;8.09 dir;7.08 speed;7.08 dir;6.07 speed;6.07 dir;5.06 speed;5.06 dir;4.04 speed;4.04 dir;3.03 speed;3.03 dir;2.02 speed;2.02 dir;1.01 speed;1.01 dir;0.00 speed;0.00 dir
0.00;145.60;SW;146.96;SW;148.29;SW;149.59;SW;150.86;SW;152.09;SW;153.29;SW;154.45;SW;155.58;SW;156.67;SW;157.72;SW;158.73;SW;159.71;SW;160.64;S;161.53;S;162.38;S;163.19;S;163.95;S;164.67;S;165.34;S;165.97;S;166.56;S;167.10;S;167.59;S;168.04;S;168.45;S;168.80;S;169.11;S;169.38;S;169.60;S;169.77;S;169.89;S;169.97;S;170.01;S;169.99;S;169.93;S;169.82;S;169.67;S;169.47;S;169.22;S;168.93;S;168.59;S;168.20;S;167.77;S;167.29;S;166.77;S;166.20;S;165.59;S;164.93;S;164.23;S;163.48;S;162.69;S;161.86;S;160.98;S;160.07;SE;159.11;SE;158.11;SE;157.07;SE;156.00;SE;154.88;SE;153.73;SE;152.55;SE;151.33;SE;150.07;SE;148.79;SE;147.47;SE;146.12;SE;144.75;SE;143.34;SE;141.91;SE;140.46;SE;138.98;SE;137.48;SE;135.96;SE;134.42;SE;132.87;SE;131.29;SE;129.70;SE;128.10;SE;126.49;SE;124.86;SE;123.23;SE;121.58;SE;119.93;SE;118.27;SE;116.61;SE;114.95;SE;113.28;SE;111.61;SE;109.94;SE
1.01;147.66;SW;149.04;SW;150.39;SW;151.70;SW;152.99;SW;154.24;SW;155.45;SW;156.63;SW;157.77;SW;158.87;SW;159.94;SW;160.96;SW;161.94;SW;162.88;S;163.78;S;164.64;S;165.45;S;166.22;S;166.95;S;167.63;S;168.26;S;168.85;S;169.39;S;169.89;S;170.34;S;170.75;S;171.11;S;171.42;S;171.68;S;171.90;S;172.08;S;172.20;S;172.28;S;172.31;S;172.30;S;172.24;S;172.13;S;171.97;S;171.77;S;171.52;S;171.23;S;170.89;S;170.50;S;170.07;S;169.59;S;169.06;S;168.49;S;167.87;S;167.21;S;166.50;S;165.75;S;164.95;S;164.11;S;163.23;S;162.30;SE;161.34;SE;160.33;SE;159.28;SE;158.19;SE;157.06;SE;155.90;SE;154.70;SE;153.46;SE;152.19;SE;150.89;SE;149.55;SE;148.19;SE;146.79;SE;145.37;SE;143.92;SE;142.44;SE;140.94;SE;139.42;SE;137.88;SE;136.31;SE;134.73;SE;133.13;SE;131.52;SE;129.89;SE;128.25;SE;126.60;SE;124.94;SE;123.26;SE;121.59;SE;119.90;SE;118.21;SE;116.52;SE;114.83;SE;113.13;SE;111.43;SE
2.02;149.71;SW;151.10;SW;152.47;SW;153.80;SW;155.10;SW;156.37;SW;157.59;SW;158.78;SW;159.94;SW;161.05;SW;162.13;SW;163.16;SW;164.15;SW;165.10;SW;166.01;S;166.87;S;167.69;S;168.46;S;169.19;S;169.88;S;170.51;S;171.11;S;171.65;S;172.15;S;172.60;S;173.01;S;173.37;S;173.68;S;173.95;S;174.17;S;174.34;S;174.47;S;174.54;S;174.58;S;174.56;S;174.50;S;174.39;S;174.24;S;174.04;S;173.79;S;173.49;S;173.15;S;172.76;S;172.33;S;171.85;S;171.32;S;170.74;S;170.12;S;169.46;S;168.74;S;167.99;S;167.19;S;166.34;S;165.45;S;164.52;SE;163.54;SE;162.52;SE;161.46;SE;160.36;SE;159.23;SE;158.05;SE;156.83;SE;155.58;SE;154.30;SE;152.98;SE;151.62;SE;150.24;SE;148.83;SE;147.38;SE;145.91;SE;144.41;SE;142.89;SE;141.35;SE;139.78;SE;138.19;SE;136.59;SE;134.96;SE;133.33;SE;131.67;SE;130.00;SE;128.33;SE;126.64;SE;124.94;SE;123.23;SE;121.52;SE;119.81;SE;118.09;SE;116.36;SE;114.64;SE;112.92;SE
3.03;151.74;SW;153.15;SW;154.53;SW;155.88;SW;157.20;SW;158.47;SW;159.72;SW;160.92;SW;162.08;SW;163.21;SW;164.29;SW;165.33;SW;166.33;SW;167.29;SW;168.20;S;169.07;S;169.89;S;170.67;S;171.40;S;172.09;S;172.73;S;173.32;S;173.87;S;174.37;S;174.82;S;175.23;S;175.59;S;175.90;S;176.17;S;176.39;S;176.56;S;176.68;S;176.76;S;176.80;S;176.78;S;176.72;S;176.61;S;176.46;S;176.26;S;176.01;S;175.71;S;175.37;S;174.98;S;174.55;S;174.06;S;173.53;S;172.96;S;172.34;S;171.67;S;170.95;S;170.19;S;169.39;S;168.54;S;167.64;SE;166.70;SE;165.72;SE;164.69;SE;163.62;SE;162.51;SE;161.36;SE;160.18;SE;158.95;SE;157.68;SE;156.38;SE;155.05;SE;153.68;SE;152.28;SE;150.84;SE;149.38;SE;147.89;SE;146.37;SE;144.83;SE;143.26;SE;141.67;SE;140.06;SE;138.43;SE;136.79;SE;135.12;SE;133.44;SE;131.75;SE;130.05;SE;128.33;SE;126.61;SE;124.87;SE;123.14;SE;121.39;SE;119.64;SE;117.89;SE;116.14;SE;114.39;SE
4.04;153.75;SW;155.18;SW;156.58;SW;157.94;SW;159.27;SW;160.56;SW;161.81;SW;163.03;SW;164.20;SW;165.34;SW;166.43;SW;167.48;SW;168.48;SW;169.44;SW;170.36;SW;171.23;S;172.06;S;172.84;S;173.57;S;174.26;S;174.90;S;175.49;S;176.04;S;176.54;S;176.99;S;177.40;S;177.76;S;178.07;S;178.33;S;178.55;S;178.72;S;178.85;S;178.93;S;178.96;S;178.95;S;178.88;S;178.78;S;178.62;S;178.42;S;178.17;S;177.88;S;177.54;S;177.15;S;176.72;S;176.23;S;175.71;S;175.13;S;174.51;S;173.84;S;173.12;S;172.36;S;171.55;S;170.70;S;169.80;SE;168.85;SE;167.86;SE;166.83;SE;165.75;SE;164.64;SE;163.48;SE;162.28;SE;161.04;SE;159.76;SE;158.45;SE;157.10;SE;155.71;SE;154.29;SE;152.84;SE;151.36;SE;149.85;SE;148.32;SE;146.75;SE;145.16;SE;143.55;SE;141.92;SE;140.27;SE;138.60;SE;136.91;SE;135.20;SE;133.49;SE;131.75;SE;130.01;SE;128.26;SE;126.50;SE;124.74;SE;122.97;SE;121.19;SE;119.42;SE;117.64;SE;115.86;SE
5.06;155.74;SW;157.19;SW;158.60;SW;159.98;SW;161.32;SW;162.62;SW;163.88;SW;165.11;SW;166.29;SW;167.43;SW;168.53;SW;169.59;SW;170.60;SW;171.56;SW;172.48;SW;173.36;S;174.18;S;174.96;S;175.70;S;176.38;S;177.02;S;177.62;S;178.16;S;178.66;S;179.11;S;179.51;S;179.87;S;180.18;S;180.44;S;180.66;S;180.83;S;180.96;S;181.03;S;181.07;S;181.05;S;180.99;S;180.88;S;180.73;S;180.53;S;180.29;S;179.99;S;179.65;S;179.27;S;178.84;S;178.36;S;177.83;S;177.25;S;176.63;S;175.96;S;175.25;S;174.48;S;173.67;S;172.82;SE;171.92;SE;170.97;SE;169.97;SE;168.94;SE;167.85;SE;166.73;SE;165.56;SE;164.35;SE;163.10;SE;161.81;SE;160.49;SE;159.12;SE;157.72;SE;156.29;SE;154.82;SE;153.33;SE;151.80;SE;150.24;SE;148.66;SE;147.05;SE;145.42;SE;143.76;SE;142.09;SE;140.39;SE;138.68;SE;136.95;SE;135.21;SE;133.45;SE;131.69;SE;129.91;SE;128.12;SE;126.33;SE;124.53;SE;122.73;SE;120.93;SE;119.12;SE;117.32;SE
6.07;157.71;SW;159.17;SW;160.60;SW;161.99;SW;163.34;SW;164.65;SW;165.93;SW;167.16;SW;168.35;SW;169.50;SW;170.60;SW;171.66;SW;172.67;SW;173.64;SW;174.56;SW;175.43;S;176.26;S;177.04;S;177.77;S;178.46;S;179.10;S;179.68;S;180.23;S;180.72;S;181.17;S;181.57;S;181.92;S;182.23;S;182.49;S;182.71;S;182.87;S;183.00;S;183.07;S;183.11;S;183.09;S;183.03;S;182.93;S;182.77;S;182.58;S;182.33;S;182.04;S;181.71;S;181.33;S;180.90;S;180.42;S;179.90;S;179.32;S;178.70;S;178.04;S;177.32;S;176.56;S;175.75;S;174.90;SE;173.99;SE;173.04;SE;172.05;SE;171.01;SE;169.92;SE;168.79;SE;167.61;SE;166.40;SE;165.14;SE;163.84;SE;162.50;SE;161.13;SE;159.71;SE;158.27;SE;156.78;SE;155.27;SE;153.72;SE;152.15;SE;150.55;SE;148.92;SE;147.26;SE;145.59;SE;143.89;SE;142.17;SE;140.44;SE;138.68;SE;136.92;SE;135.14;SE;133.34;SE;131.54;SE;129.73;SE;127.91;SE;126.09;SE;124.26;SE;122.43;SE;120.60;SE;118.77;SE
7.08;159.65;SW;161.13;SW;162.57;SW;163.97;SW;165.33;SW;166.65;SW;167.93;SW;169.17;SW;170.37;SW;171.52;SW;172.63;SW;173.69;SW;174.70;SW;175.67;SW;176.59;SW;177.46;SW;178.29;S;179.07;S;179.79;S;180.48;S;181.11;S;181.69;S;182.23;S;182.72;S;183.16;S;183.56;S;183.91;S;184.21;S;184.47;S;184.68;S;184.84;S;184.97;S;185.04;S;185.07;S;185.06;S;185.00;S;184.90;S;184.75;S;184.55;S;184.31;S;184.03;S;183.69;S;183.32;S;182.89;S;182.42;S;181.90;S;181.33;S;180.72;S;180.06;S;179.35;S;178.59;S;177.78;SE;176.93;SE;176.02;SE;175.07;SE;174.08;SE;173.03;SE;171.94;SE;170.81;SE;169.63;SE;168.41;SE;167.14;SE;165.83;SE;164.49;SE;163.10;SE;161.68;SE;160.21;SE;158.72;SE;157.19;SE;155.63;SE;154.03;SE;152.41;SE;150.77;SE;149.09;SE;147.39;SE;145.68;SE;143.94;SE;142.18;SE;140.40;SE;138.61;SE;136.81;SE;134.99;SE;133.16;SE;131.32;SE;129.48;SE;127.63;SE;125.78;SE;123.92;SE;122.06;SE;120.20;SE
8.09;161.57;SW;163.06;SW;164.51;SW;165.92;SW;167.29;SW;168.62;SW;169.91;SW;171.15;SW;172.35;SW;173.50;SW;174.61;SW;175.67;SW;176.69;SW;177.65;SW;178.57;SW;179.44;SW;180.26;S;181.03;S;181.76;S;182.43;S;183.06;S;183.63;S;184.16;S;184.65;S;185.08;S;185.47;S;185.81;S;186.11;S;186.36;S;186.57;S;186.74;S;186.85;S;186.93;S;186.96;S;186.94;S;186.89;S;186.79;S;186.64;S;186.45;S;186.21;S;185.93;S;185.61;S;185.23;S;184.82;S;184.35;S;183.84;S;183.28;S;182.67;S;182.02;S;181.31;S;180.56;S;179.76;SE;178.91;SE;178.01;SE;177.06;SE;176.06;SE;175.02;SE;173.93;SE;172.79;SE;171.61;SE;170.38;SE;169.11;SE;167.80;SE;166.44;SE;165.04;SE;163.61;SE;162.13;SE;160.63;SE;159.08;SE;157.50;SE;155.90;SE;154.26;SE;152.59;SE;150.90;SE;149.18;SE;147.44;SE;145.68;SE;143.90;SE;142.10;SE;140.29;SE;138.46;SE;136.62;SE;134.76;SE;132.90;SE;131.03;SE;129.16;SE;127.28;SE;125.40;SE;123.51;SE;121.63;SE
9.10;163.45;SW;164.95;SW;166.41;SW;167.83;SW;169.21;SW;170.55;SW;171.84;SW;173.09;SW;174.29;SW;175.44;SW;176.55;SW;177.61;SW;178.62;SW;179.58;SW;180.49;SW;181.36;SW;182.17;SW;182.94;S;183.65;S;184.32;S;184.93;S;185.50;S;186.02;S;186.50;S;186.92;S;187.31;S;187.64;S;187.93;S;188.18;S;188.38;S;188.54;S;188.65;S;188.73;S;188.76;S;188.74;S;188.69;S;188.59;S;188.45;S;188.26;S;188.03;S;187.76;S;187.44;S;187.07;S;186.66;S;186.21;S;185.70;S;185.15;S;184.55;S;183.91;S;183.21;S;182.47;S;181.67;SE;180.83;SE;179.93;SE;178.99;SE;178.00;SE;176.96;SE;175.87;SE;174.73;SE;173.55;SE;172.32;SE;171.04;SE;169.72;SE;168.36;SE;166.95;SE;165.51;SE;164.03;SE;162.50;SE;160.95;SE;159.36;SE;157.73;SE;156.08;SE;154.39;SE;152.68;SE;150.95;SE;149.19;SE;147.41;SE;145.60;SE;143.78;SE;141.94;SE;140.09;SE;138.23;SE;136.35;SE;134.47;SE;132.57;SE;130.67;SE;128.76;SE;126.86;SE;124.95;SE;123.03;SE
